,Brand,Model Name,Type,Capacity in Tons,Star Rating,Color,Series,Cooling and Heating,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Operating Modes,Technology Used,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,Indoor Noise Level,Panel Display,Indoor Temperature Indicator,Turbo Mode,ISEER,Evaporator Fin Type,Condenser Fin Type,Stepped Louvers,Auto Air Swing,Air Flow Direction,Other Air Flow Features,Anti-bacteria Filter,Dust Filter,Deodorizing Filter,Auto Restart,Timer,Child Lock,Quiet Mode,Sleep Mode,Memory Feature,Self Diagnosis,Emergency Operational Button,Power Requirement,Power Consumption,LED Backlit Buttons,Night Glow Buttons on Remote,Battery Type,Price
47,SAMSUNG,AR12TY3QBBUNNA/AR12TY3QBBUXNA,Split,1 Ton,3 Star BEE Rating,"White, Blue1",Floral,No,3517 W,Rotary,Yes,Yes,R32,"Auto, Cool, Dry, Fan",,Copper,80.5 cm x 28.5 cm x 19.4 cm,11 kg,72 cm x 49.5 cm x 27 cm,21 kg,Low - 35 dB,Yes,Yes,Yes,3.8 W/W,HYDROPHILIC BLUE FINS,Gold,No,Yes,2 Way Air Direction,4 Way Air Swing,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,,"AC 220 - 240 V, 50 Hz",1150 W,No,Yes,2 AAA Batteries,"28,990"
48,Godrej,GIC 18YTC3-WTA,Split,1.5 Ton,3 Star BEE Rating,White,Intelligent WiFi AC,No,5150 W,Rotary Compressor,Yes,Yes,R32,"Cool, Auto, Dry, Fan, Sleep, ECO",360 Degree DC Inverter compressor Technology,Copper,91 cm x 29.4 cm x 20.6 cm,9 kg,76 cm x 55.2 cm x 25.6 cm,28 kg,"High - 45 dB, Low - 32 dB",Hidden Display,Yes,Yes,3.53 W/W,HYDROPHILIC BLUE FINS,COPPER CONDENSER WITH ANTI CORROSIVE BLUE FINS,,Yes,2 Way,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1128.49 W,Yes,Yes,2,"31,990"
49,Voltas,123 VDZX (R-410A)/123 VDZX (R-32),Split,1 Ton,3 Star BEE Rating,White,,,3500 W,Rotary,Yes,Yes,"R410,R32",,,Copper,80 cm x 29.2 cm x 22.2 cm,9.3 kg,77.5 cm x 49 cm x 30 cm,26.5 kg,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,"AC 230 V, 50 Hz",704 W,,,,"30,480"
50,Voltas,185 V ADQ (R-32),Split,1.5 Ton,5 Star BEE Rating,"White, Black",,,5200 W,High EER Twin Rotary - BLDC,No,Yes,R32,"Auto, Cool, Dry, Fan",,Copper,960 mm x 317 mm x 235 mm,13 kg,835 mm x 555 mm x 295 mm,28 kg,,LED,,Yes,5 W/W,Blue,,,,,,No,Yes,,Yes,Yes,,,Yes,,Yes,,"AC 230 V, 50 Hz, 1 Phase",1430 W,,Yes,,"38,200"
51,LG,LS-Q12JNXA,Split,1 Ton,3 Star BEE Rating,White,Estra N,No,3283 W,Dual Rotary,Yes,Yes,R32,NA,Dual Cool,Copper,83.7 cm x 30.8 cm x 18.9 cm,9 kg,71.7 cm x 49.5 cm x 23 cm,23.3 kg,High - 21 dB,Yes,Yes,Yes,3.73 W/W,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,Yes,Yes,2 AAA Batteries,"31,990"
52,IFFALCON by TCL,FAC-12CSD/V3,Split,1 Ton,3 Star BEE Rating,White,E3,No,3550 W,Eco-Tropical Inverter,Yes,Yes,R32,"Cool Mode, Dry Mode, Fan Mode, Auto Mode�",Eco Tropical Inverter Technology,Copper,77.7 cm x 25 cm x 20.5 cm,8.5 kg,75.4 cm x 55.2 cm x 30 cm,25 kg,"High - 40 dB, Low - 32 dB",LED Digital,Yes,Yes,3.65 W/W,Titan Gold,Titan Gold,Yes,Yes,4 Way,4 Step Fan Speed,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 165 - 245 V, 50 Hz",1210 W,Yes,Yes,2 AAA Batteries,"25,490"
53,LG,KS-Q18ENZA,Split,1.5 Ton,5 Star BEE Rating,White,,No,5100 W,Dual Rotary,Yes,Yes,R32,,,Copper,99.8 cm x 33 cm x 21 cm,11.5 kg,77 cm x 54.5 cm x 28.8 cm,32.5 kg,"High - 31 dB, Low - 26 dB",,Yes,No,5 W/W,Gold Fin,Gold Fin,Yes,Yes,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 220 - 240 V, 50 Hz",1440 W,,Yes,2 AAA Batteries,"39,990"
54,Voltas,CU 195V ADJ/EU 195V ADJ,Split,1.6 Ton,5 Star BEE Rating,White,,,5450 W,Rotary,Yes,Yes,,"Auto, Cool, Dry, Fan",,Copper,99 cm x 31.5 cm x 24.2 cm,9.4 kg,55.5 cm x 60 cm x 35.5 cm,24 kg,,,,,4.51 W/W,,,,,,,Yes,Yes,,Yes,,,,,,,,AC 230 V,1526 W,,,,"39,990"
55,Lloyd,LS12I56HAWA,Split,1 Ton,5 Star BEE Rating,Print White,Turbocool,No,3520 W,Inverter Compressor,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode",Dual Rotary Compressor,Copper,87 cm x 20 cm x 29.8 cm,10 kg,56 cm x 56 cm x 36.5 cm,26.7 kg,"High - 45 dB, Low - 28 dB",LED Digital Display,Yes,Yes,3.4 W/W,Blue Coating,Blue Fin,Yes,No,2 Way Air Direction,4 Step Fan Speed,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",577.43 W,No,Yes,2 AAA Batteries,"35,489"
56,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,Split,1.5 Ton,3 Star BEE Rating,"White, Pastel Blue",,No,4982 W,Rotary,Yes,Yes,R32,,,Copper,95.7 cm x 55.4 cm x 21.3 cm,14.9 kg,80 cm x 55.4 cm x 33.3 cm,28.3 Kg,,LED,,Yes,3.67 W/W,,,No,Yes,,Air Vent: Cross Flow,Yes,Yes,,Yes,Yes,No,No,Yes,,No,,"AC 220 - 240 V, 50 Hz",1748 W,,Yes,,"31,990"
57,CARRIER,18K 3 STAR ESTER NEO-i INVERTER R32 SPLIT AC,Split,1.5 Ton,3 Star BEE Rating,White,,No,5200 W,Rotary,Yes,Yes,R32,,,Copper,94 cm x 27.5 cm x 20.5 cm,10.3 kg,78 cm x 54 cm x 25 cm,27.7 kg,Low - 37 dB,Yes,,Yes,,,,,Yes,,,No,Yes,,Yes,,,,Yes,,,,"AC 230 V, 50 Hz",1750 W,,,2,"34,990"
58,Voltas,245V ZZV,Split,2 Ton,5 Star BEE Rating,White,,No,5200 W,Rotary,Yes,Yes,R32,"Auto, Cool, Dry, Fan",,Copper,99 cm x 31.5 cm x 22.5 cm,11.4 kg,87 cm x 54 cm x 35.5 cm,35 kg,Low - 50 dB,LED Magic Display,Yes,Yes,3.67 W/W,,Ocean Black Fin,No,Yes,2 Way Air Direction,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,,"AC 230 V, 50 Hz",2000 W,,,AAA Batteries,"50,990"
59,Hitachi,RAW318HDEA,Window,1.5 Ton,3 Star BEE Rating,White,Shizuka,No,5100 W,DC Inverter Compressor,Yes,Yes,R410A,Auto Power Save Mode,Inverter,Copper,66 cm x 43 cm x 75.5 cm,50.5 kg,900 mm x 650 mm x 365 mm,44 kg,Low - 40 dB,No,Yes,Yes,3.09 W/W,Blue,Anti-corrosive Blue Fins,,Yes,2 Way Air Direction,4 Way Air Swing,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"AC 230 V, 50 Hz",1279.02 W,No,No,2,"33,490"
60,LumX,LX184INHDM,Split,1.5 Ton,4 Star BEE Rating,White,,No,5000 W,Inverter Compressor,No,Yes,R32,"Cool, Dry, Fan",,Copper,30 cm x 22.5 cm x 30 cm,13.3 kg,83.5 cm x 55.5 cm x 29.5 cm,29.5 kg,,No,,Yes,4.1 W/W,,,,Yes,2 Way,,Yes,Yes,,Yes,,No,,Yes,,Yes,,"AC 230 V, 50 Hz",1470 W,Yes,Yes,AAA Batteries,"29,990"
61,IFFALCON by TCL,FAC-12CSD/V3,Split,1 Ton,3 Star BEE Rating,White,E3,No,3550 W,Eco-Tropical Inverter,Yes,Yes,R32,"Cool Mode, Dry Mode, Fan Mode, Auto Mode�",Eco Tropical Inverter Technology,Copper,77.7 cm x 25 cm x 20.5 cm,8.5 kg,75.4 cm x 55.2 cm x 30 cm,25 kg,"High - 40 dB, Low - 32 dB",LED Digital,Yes,Yes,3.65 W/W,Titan Gold,Titan Gold,Yes,Yes,4 Way,4 Step Fan Speed,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 165 - 245 V, 50 Hz",1210 W,Yes,Yes,2 AAA Batteries,"25,490"
62,LG,KS-Q18ENZA,Split,1.5 Ton,5 Star BEE Rating,White,,No,5100 W,Dual Rotary,Yes,Yes,R32,,,Copper,99.8 cm x 33 cm x 21 cm,11.5 kg,77 cm x 54.5 cm x 28.8 cm,32.5 kg,"High - 31 dB, Low - 26 dB",,Yes,No,5 W/W,Gold Fin,Gold Fin,Yes,Yes,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 220 - 240 V, 50 Hz",1440 W,,Yes,2 AAA Batteries,"39,990"
63,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,Split,1.5 Ton,3 Star BEE Rating,White,Magicool Pro,No,5000 W,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,79.8 cm x 29.3 cm x 23 cm,9 kg,78 cm x 55 cm x 29 cm,33 kg,"High - 48 dB, Low - 25 dB",No,No,Yes,4 W/W,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,Yes,Yes,2 AAA Batteries,"39,990"
64,SAMSUNG,AR12TY3QBBUNNA/AR12TY3QBBUXNA,Split,1 Ton,3 Star BEE Rating,"White, Blue1",,No,3517 W,Rotary,Yes,Yes,,,,Copper,80.5 cm x 28.5 cm x 19.4 cm,11 kg,72 cm x 49.5 cm x 27 cm,21 kg,,,,Yes,3.8 W/W,,,No,,,,Yes,Yes,,Yes,Yes,No,No,Yes,,No,,"AC 220 - 240 V, 50 Hz",1150 W,,,,"28,990"
65,Whirlpool,1.0T MAGICOOL PRO 5S COPR INV-I/O,Split,1 Ton,5 Star BEE Rating,White,Magicool Pro,No,3380 W,Rotary,Yes,Yes,R32,"Cool Mode, Dry Mode, Fan Mode",,Copper,100 cm x 29.5 cm x 23 cm,11 kg,78 cm x 55.7 cm x 24.1 cm,32.5 kg,,Hidden,,Yes,5 W/W,,,,,,,No,Yes,,Yes,,,,Yes,,Yes,,"AC 230 V, 50 Hz",920 W,,Yes,,"30,990"
66,Sansui,SAC153SFA_MPS,Split,1.5 Ton,3 Star BEE Rating,White,,,5100 W,Rotary,Yes,Yes,R-32,"Turbo Mode, Sleep Mode",Rotary Compressor,Copper,1000 mm x 230 mm x 295 mm,14 kg,780 mm x 241 mm x 557 mm,40 Kg,,Yes,,Yes,3.61 W/W,Hydrophilic aluminum,Hydrophobic aluminium,Yes,Yes,,,No,Yes,No,Yes,,,,Yes,Yes,No,,"AC 230 V, 50 Hz",1413 W,,,2 AAA Batteries,"28,990"
67,Voltas,125V DZX,Split,1 Ton,5 Star BEE Rating,White,Shizuka,No,3600 W,Rotary,Yes,Yes,R-32,"Fan Mode, Cool Mode, Turbo Mode",Insta Kool,Copper,80 cm x 29.2 cm x 22.2 cm,9.3 kg,83.5 cm x 55.5 cm x 29.5 cm,28 kg,"High - 31 dB, Low - 26 dB",LED,Yes,No,2.91 W/W,Gold Fin,Gold Fin,Yes,Yes,2 Way Air Direction,3 Step Fan Speed,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",925 W,Yes,Yes,2,"35,590"
68,Blue Star,3WAE081YDF,Window,0.75 Ton,3 Star BEE Rating,White,YD Series,No,2499 W,Rotary,Yes,Yes,R-410A,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",,Copper,60 cm x 38 cm x 56 cm,35.1 kg,72 cm x 54.8 cm x 26.5 cm,27.8 kg,,Yes,,,3 W/W,,,,Yes,,,No,Yes,Yes,Yes,,,Yes,Yes,,,,"AC 230 V, 50 Hz",840 W,,,2 AAA Batteries,"19,990"
69,White Westing House,WWH243INA,Split,2 Ton,3 Star BEE Rating,White,,No,6300 W,Rotary,Yes,Yes,R32,"Auto, Cool, Fan, Dry",,Copper,1121 mm x 231 mm x 390 mm,16.5 kg,825 mm x 655 mm x 310 mm,40.5 kg,"High - 45 dB, Low - 43 dB",No,Yes,Yes,4 W/W,Copper,,,Yes,4 Way,,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,"AC 230 V, 50 Hz",6300 W,No,No,AAA Batteries,"54,999"
70,LG,LS-Q18YNYA,Split,1.5 Ton,4 Star BEE Rating,White,,No,5000 W,Dual Rotary,Yes,Yes,R32,"4 Modes (100%, 80%, 60% & 40%), Himalaya Cooling",,Copper,99.8 cm x 33 cm x 21 cm,10.5 kg,77 cm x 54.5 cm x 28.8 cm,30 kg,"High - 42 dB, Low - 36 dB",LED 7 Segment,Yes,Yes,4 W/W,Blue Fin,,,Yes,2 Way Air Direction,,Yes,Yes,,Yes,Yes,,,Yes,,Yes,,AC 230 V,920.82 kWh,Yes,,AA Batteries,"39,990"
71,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,Split,1.5 Ton,3 Star BEE Rating,"White, Pastel Blue",Kaze Plus,No,4982 W,Rotary,Yes,Yes,R-32,"Auto, Cool, Fan, Dry",Inverter,Copper,95.7 cm x 55.4 cm x 21.3 cm,14.9 kg,80 cm x 55.4 cm x 33.3 cm,28.3 Kg,Low - 48 dB,No,No,Yes,3.67 W/W,Golden,Golden,No,Yes,Horizontal,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,No,No,AAA Batteries,"31,990"
72,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,Split,1.5 Ton,3 Star BEE Rating,"White, Pastel Blue",,No,4982 W,Rotary,Yes,Yes,,,,Copper,95.7 cm x 55.4 cm x 21.3 cm,14.9 kg,80 cm x 55.4 cm x 33.3 cm,28.3 Kg,,,,Yes,3.67 W/W,,,No,,,,Yes,Yes,,Yes,Yes,No,No,Yes,,No,,"AC 220 - 240 V, 50 Hz",1748 W,,,,"31,990"
73,IFB,IACI18SA3G3C1,Split,1.5 Ton,3 Star BEE Rating,White,,,5300 W,Twin Rotary,Yes,Yes,R32,,,Copper,206 mm x 910 mm x 294 mm,10 kg,605 mm x 780 mm x 290 mm,30 kg,,,,,3.77 W/W,,,,,,,Yes,Yes,,Yes,,,,,,,,AC 230 V,1088.64 kWh,,,,"36,990"
74,Panasonic,KU18WKYT/CS/CU-SU18WKYW,Split,1.5 Ton,3 Star BEE Rating,White,,No,5150 W,Twin Rotary,Yes,Yes,R-32,"Auto, Cool, Fan, Dry, Powerful, Sleep",,Copper,107 cm x 29 cm x 23.5 cm,11.5 kg,78 cm x 55.7 cm x 24.1 cm,28 kg,,,,,4 W/W,,,,,,,Yes,Yes,,Yes,,,,,,,,AC 100 - 240 V,1050.21 W,,,,"36,490"
75,LG,LS-Q12JNXA,Split,1 Ton,3 Star BEE Rating,White,Estra N,No,3283 W,Dual Rotary,Yes,Yes,R32,NA,Dual Cool,Copper,83.7 cm x 30.8 cm x 18.9 cm,9 kg,71.7 cm x 49.5 cm x 23 cm,23.3 kg,High - 21 dB,Yes,Yes,Yes,3.73 W/W,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,Yes,Yes,2 AAA Batteries,"31,990"
76,SAMSUNG,AR12AYMZABENNA/XNA,Split,1 Ton,4 Star BEE Rating,White,,,3300 W,Inverter Compressor,Yes,Yes,,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",,Copper,82 cm x 29.9 cm x 21.5 cm,9 kg,72 cm x 54.8 cm x 26.5 cm,24.3 kg,,Yes,,,,,,,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,AC 230 V,634.66 W,,,2 AAA Batteries,"29,490"
77,Daikin,MTL50TV16V3/RL50TV16V3/V2A/U2/RL50TV16U3/RL50TV16U2A,Split,1.5 Ton,3 Star BEE Rating,White,,No,5200 W,Rotary,No,Yes,R-32,,,Copper,80 cm x 29.8 cm x 22.9 cm,16 kg,84.5 cm x 59.5 cm x 30 cm,51 kg,,,,Yes,3.65 W/W,,,,,,,No,Yes,,Yes,Yes,,Yes,Yes,,Yes,,"AC 230 V, 50 Hz",1425 W,,,,"34,990"
78,Haier,HSU18C-NCB3B(INV),Split,1.5 Ton,3 Star BEE Rating,"White, Orange",,,5200 W,Rotary,Yes,Yes,,,,Copper,91 cm x 31 cm x 21.5 cm,11.5 kg,80 cm x 55 cm x 27.5 cm,30 kg,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,"AC 220 - 240 V, 50 Hz",1780 W,,,2,"34,775"
79,Lloyd,LS12I56HAWA,Split,1 Ton,5 Star BEE Rating,Print White,Turbocool,No,3520 W,Inverter Compressor,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode",Dual Rotary Compressor,Copper,87 cm x 20 cm x 29.8 cm,10 kg,56 cm x 56 cm x 36.5 cm,26.7 kg,"High - 45 dB, Low - 28 dB",LED Digital Display,Yes,Yes,3.4 W/W,Blue Coating,Blue Fin,Yes,No,2 Way Air Direction,4 Step Fan Speed,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",577.43 W,No,Yes,2 AAA Batteries,"35,489"
80,Blue Star,IC518EBTU,Split,1.5 Ton,5 Star BEE Rating,White,,No,5030 W,Inverter Compressor,Yes,Yes,R32,"Auto, Cool, Fan, Dry",,Copper,94 cm x 31.5 cm x 23.5 cm,11.8 kg,84 cm x 54 cm x 30 cm,27.7 kg,Low - 40 dB,LED,No,Yes,4.66 W/W,,Anti-corrosive Blue Fins,,Yes,,4 Way Air Swing,No,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"AC 230 V, 50 Hz",836.04 W,No,Yes,2 AAA Batteries,"42,990"
81,Voltas,183 DZA (R32)/183 DZA,Window,1.5 Ton,3 Star BEE Rating,White,,,4800 W,High EER Rotary,No,Yes,R-32,,,Copper,66 cm x 43 cm x 70.5 cm,55 kg,,,,LED Display,,Yes,,,,,Yes,,,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,,"AC 230 V, 50 Hz",1729 W,,Yes,,"26,680"
82,SAMSUNG,AR18NV3XEWKNNA/AR18NV3XEWKXNA,Split,1.5 Ton,3 Star BEE Rating,White,,No,5350 W,BLDC,Yes,Yes,R410A,"2 Step Cooling, Fast Cool, Comfort Cool, Good Sleep, Auto Mode, Fan Mode",Rotary Compressor,Alloy,1065 mm x 301 mm x 311 mm,13.4 kg,790 mm x 548 mm x 285 mm,29.7 kg,"High - 45 dB, Low - 26 dB",Yes,Yes,Yes,3 W/W,Hydrophilic Blue Fins,Anti-Corrosive Blue Fins,Yes,Yes,4 Way,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"AC 220 - 240 V, 50 Hz",1860 W,Yes,Yes,2 AAA Batteries,"56,500"
83,Hitachi,RAW318HDEA,Window,1.5 Ton,3 Star BEE Rating,White,Shizuka,No,5100 W,DC Inverter Compressor,Yes,Yes,R410A,Auto Power Save Mode,Inverter,Copper,66 cm x 43 cm x 75.5 cm,50.5 kg,900 mm x 650 mm x 365 mm,44 kg,Low - 40 dB,No,Yes,Yes,3.09 W/W,Blue,Anti-corrosive Blue Fins,,Yes,2 Way Air Direction,4 Way Air Swing,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"AC 230 V, 50 Hz",1279.02 W,No,No,2,"33,490"
84,Daikin,FTKM50TV16VC,Split,1.5 Ton,5 Star BEE Rating,White,,No,5000 W,Rotary,Yes,Yes,R32,"Cool, Dry, Fan",,Copper,86.5 cm x 29 cm x 22 cm,11 kg,84 cm x 59.5 cm x 30 cm,31 kg,,No,,Yes,4.7 W/W,,,,Yes,2 Way,,Yes,Yes,,Yes,,No,,Yes,,Yes,,"AC 230 V, 50 Hz",1650 W,Yes,Yes,AAA Batteries,"40,050"
85,LG,LS-Q18YNYA,Split,1.5 Ton,4 Star BEE Rating,White,,No,5000 W,Dual Rotary,Yes,Yes,R32,"4 Modes (100%, 80%, 60% & 40%), Himalaya Cooling",,Copper,99.8 cm x 33 cm x 21 cm,10.5 kg,77 cm x 54.5 cm x 28.8 cm,30 kg,"High - 42 dB, Low - 36 dB",LED 7 Segment,Yes,Yes,4 W/W,Blue Fin,,,Yes,2 Way Air Direction,,Yes,Yes,,Yes,Yes,,,Yes,,Yes,,AC 230 V,920.82 kWh,Yes,,AA Batteries,"39,990"
86,TOSHIBA,RAS-13QKCV3G-INZ / RAS-13QACV3G-INZ,Split,1 Ton,3 Star BEE Rating,White,Zunoh,No,3500 W,Rotary,Yes,Yes,R32,"Auto, Cool, Fan, Dry, Powerful, Sleep",,Copper,79.8 cm x 29.3 cm x 23 cm,10 kg,66 cm x 53 cm x 24 cm,22 kg,"High - 43 dB, Low - 23 dB",No,No,Yes,4 W/W,,,Yes,Yes,4 Way,,No,Yes,,Yes,Yes,No,No,Yes,,Yes,,"AC 230 - 240 V, 50 Hz",1200 W,,,2 AAA Batteries,"34,490"
87,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,Split,1.5 Ton,3 Star BEE Rating,White,Magicool Pro,No,5000 W,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,79.8 cm x 29.3 cm x 23 cm,9 kg,78 cm x 55 cm x 29 cm,33 kg,"High - 48 dB, Low - 25 dB",No,No,Yes,4 W/W,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,Yes,Yes,2 AAA Batteries,"39,990"
88,SAMSUNG,AR12TY3QBBUNNA/AR12TY3QBBUXNA,Split,1 Ton,3 Star BEE Rating,"White, Blue1",,No,3517 W,Rotary,Yes,Yes,,,,Copper,80.5 cm x 28.5 cm x 19.4 cm,11 kg,72 cm x 49.5 cm x 27 cm,21 kg,,,,Yes,3.8 W/W,,,No,,,,Yes,Yes,,Yes,Yes,No,No,Yes,,No,,"AC 220 - 240 V, 50 Hz",1150 W,,,,"28,990"
89,LumX,LX184INHDM,Split,1.5 Ton,4 Star BEE Rating,White,,No,5000 W,Inverter Compressor,No,Yes,R32,"Cool, Dry, Fan",Inverter,Copper,30 cm x 22.5 cm x 30 cm,13.3 kg,83.5 cm x 55.5 cm x 29.5 cm,29.5 kg,High - 35 dB,No,No,Yes,4.1 W/W,,Ocean Black Fin,No,Yes,2 Way,4 Way Air Swing,Yes,Yes,,Yes,Yes,No,No,Yes,Yes,Yes,,"AC 230 V, 50 Hz",1470 W,Yes,Yes,AAA Batteries,"29,990"
90,SAMSUNG,AR18AYNZBBE/AR18AYNZBBENNA /AR18AYNZBBEXNA,Split,1.5 Ton,5 Star BEE Rating,White,,,5000 W,Rotary,Yes,Yes,,"Auto Mode, Fast Cool, Good Sleep, Dehumidification, Fan Mode",,Copper,105.5 cm x 29.9 cm x 21.5 cm,11.4 kg,88 cm x 63.8 cm x 31 cm,37 kg,,,,,4.65 W/W,,,,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,AC 230 V,1380 W,,,AAA Batteries,"35,990"
91,Voltas,125V DZX,Split,1 Ton,5 Star BEE Rating,White,Shizuka,No,3600 W,Rotary,Yes,Yes,R-32,"Fan Mode, Cool Mode, Turbo Mode",Insta Kool,Copper,80 cm x 29.2 cm x 22.2 cm,9.3 kg,83.5 cm x 55.5 cm x 29.5 cm,28 kg,"High - 31 dB, Low - 26 dB",LED,Yes,No,2.91 W/W,Gold Fin,Gold Fin,Yes,Yes,2 Way Air Direction,3 Step Fan Speed,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",925 W,Yes,Yes,2,"35,590"
92,Voltas,155V DZW (R32),Split,1.2 Ton,5 Star BEE Rating,White,,No,4000 W,High EER Rotary - BLDC,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Precision Cooling Technology,Copper,80 cm x 29.2 cm x 22.2 cm,9.3 kg,83.5 cm x 55.5 cm x 29.5 cm,28.5 kg,"High - 58 dB, Low - 43 dB",LED,,Yes,5 W/W,Anti-corrosive Blue Fins,Anti-corrosive Blue Fins,No,Yes,,Air Vent: Cross Flow,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,"AC 230 V, 50 Hz",1010 W,No,Yes,2 AAA Batteries,"32,990"
93,Lloyd,LS18H31LF,Split,1.5 Ton,3 Star BEE Rating,White,,Yes,5100 W,Rotary,Yes,Yes,R410A,,,Copper,110 cm x 33 cm x 23.5 cm,14 kg,80 cm x 54.5 cm x 31.5 cm,35 kg,,Hidden LED Display,,,4 W/W,,,,Yes,4 Way,,Yes,Yes,,Yes,Yes,,,Yes,,Yes,,"AC 220 - 240 V, 50 Hz",1800 W,,,,"39,000"
94,SAMSUNG,AR18AYNZBBE/AR18AYNZBBENNA /AR18AYNZBBEXNA,Split,1.5 Ton,5 Star BEE Rating,White,E3S,No,5000 W,Rotary,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Dehumidification, Fan Mode",Eco Tropical Inverter Technology,Copper,105.5 cm x 29.9 cm x 21.5 cm,11.4 kg,88 cm x 63.8 cm x 31 cm,37 kg,"High - 48 dB, Low - 36 dB",LED Digital,Yes,Yes,4.65 W/W,Titan Gold,Titan Gold,Yes,Yes,4 Way,4 Step Fan Speed,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,AC 230 V,1380 W,Yes,Yes,AAA Batteries,"35,990"
